Ano de eleição_x,Cargo_x,UF_x,Nome candidato,Número candidato,Partido,Gênero,Votos válidos,Votos nominais,Data de carga_x,Ano de eleição_y,Cargo_y,UF_y,Coligação,Composição da federação,Região,Sigla da federação,Turno,Quantidade de votos válidos,Data de carga_y,quociente_partidario,media_sobra
2022,Deputado Federal,SP,TABATA CLAUDIA AMARAL DE PONTES,4040,PSB,Feminino,22429341,337873,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,733141,2025-03-25 03:36:58,2,244380.33333333334
2022,Deputado Federal,SP,JONAS DONIZETTE FERREIRA,4000,PSB,Masculino,22429341,84044,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,733141,2025-03-25 03:36:58,2,244380.33333333334
2022,Deputado Federal,SP,GILBERTO NASCIMENTO SILVA,2020,PSC,Masculino,22429341,95077,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,293192,2025-03-25 03:36:58,1,146596.0
2022,Deputado Federal,SP,MARCO AURELIO BERTAIOLLI,5500,PSD,Masculino,22429341,157552,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1055965,2025-03-25 03:36:58,3,263991.25
2022,Deputado Federal,SP,ANTONIO CEZAR CORREIA FREIRE,5577,PSD,Masculino,22429341,143434,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1055965,2025-03-25 03:36:58,3,263991.25
2022,Deputado Federal,SP,RICARDO AUGUSTO MACHADO DA SILVA,5512,PSD,Masculino,22429341,133936,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1055965,2025-03-25 03:36:58,3,263991.25
2022,Deputado Federal,SP,PAULO ALEXANDRE PEREIRA BARBOSA,4533,PSDB,Masculino,22429341,170378,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,CIDADANIA / PSDB,SUDESTE,PSDB/CIDADANIA,1,1061538,2025-03-25 03:36:58,3,265384.5
2022,Deputado Federal,SP,VITOR LIPPI,4510,PSDB,Masculino,22429341,106661,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,CIDADANIA / PSDB,SUDESTE,PSDB/CIDADANIA,1,1061538,2025-03-25 03:36:58,3,265384.5
2022,Deputado Federal,SP,CARLOS HENRIQUE FOCESI SAMPAIO,4500,PSDB,Masculino,22429341,98102,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,CIDADANIA / PSDB,SUDESTE,PSDB/CIDADANIA,1,1061538,2025-03-25 03:36:58,3,265384.5
2022,Deputado Federal,SP,GUILHERME CASTRO BOULOS,5010,PSOL,Masculino,22429341,1001472,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,1984281,2025-03-25 03:36:58,7,248035.125
2022,Deputado Federal,SP,ERIKA SANTOS SILVA,5070,PSOL,Feminino,22429341,256903,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,1984281,2025-03-25 03:36:58,7,248035.125
2022,Deputado Federal,SP,SÂMIA DE SOUZA BOMFIM,5000,PSOL,Feminino,22429341,226187,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,1984281,2025-03-25 03:36:58,7,248035.125
2022,Deputado Federal,SP,SÔNIA BONE DE SOUSA SILVA SANTOS,5088,PSOL,Feminino,22429341,156966,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,1984281,2025-03-25 03:36:58,7,248035.125
2022,Deputado Federal,SP,LUIZA ERUNDINA DE SOUSA,5021,PSOL,Feminino,22429341,113983,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,1984281,2025-03-25 03:36:58,7,248035.125
2022,Deputado Federal,SP,LUCIENE CAVALCANTE DA SILVA,5089,PSOL,Feminino,22429341,49131,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,1984281,2025-03-25 03:36:58,7,248035.125
2022,Deputado Federal,SP,IVAN VALENTE,5050,PSOL,Masculino,22429341,44424,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,1984281,2025-03-25 03:36:58,7,248035.125
2022,Deputado Federal,SP,RUI GOETHE DA COSTA FALCÃO,1313,PT,Masculino,22429341,193990,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,FRANCISCO DANIEL CELEGUIM DE MORAIS,1301,PT,Masculino,22429341,167438,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,JILMAR AUGUSTINHO TATTO,1380,PT,Masculino,22429341,157843,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,LUIZ MARINHO,1355,PT,Masculino,22429341,156202,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,NILTO IGNÁCIO TATTO,1353,PT,Masculino,22429341,151861,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,CARLOS ALBERTO ROLIM ZARATTINI,1370,PT,Masculino,22429341,147349,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,ARLINDO CHIGNALIA JUNIOR,1322,PT,Masculino,22429341,144108,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,ALEXANDRE ROCHA SANTOS PADILHA,1354,PT,Masculino,22429341,140037,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,ALENCAR SANTANA BRAGA,1358,PT,Masculino,22429341,139223,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,JULIANA CARDOSO,1333,PT,Feminino,22429341,125517,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PC do B / PT / PV,SUDESTE,PT/PC do B/PV,1,2941086,2025-03-25 03:36:58,10,267371.45454545453
2022,Deputado Federal,SP,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,1818,REDE,Feminino,22429341,237526,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,PSOL / REDE,SUDESTE,PSOL/REDE,1,304580,2025-03-25 03:36:58,1,152290.0
2022,Deputado Federal,SP,CELSO UBIRAJARA RUSSOMANNO,1000,REPUBLICANOS,Masculino,22429341,305520,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1580891,2025-03-25 03:36:58,5,263481.8333333333
2022,Deputado Federal,SP,MARCOS ANTONIO PEREIRA,1010,REPUBLICANOS,Masculino,22429341,231626,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1580891,2025-03-25 03:36:58,5,263481.8333333333
