Ano de eleição;Cargo;UF;Nome candidato;Número candidato;Partido;Gênero;Votos válidos;Votos nominais;Data de carga
2022;Deputado Federal;SP;PAULO ALEXANDRE PEREIRA BARBOSA;4533;PSDB;Masculino;23375585;170378;2025-03-25 03:36:58
2022;Deputado Federal;SP;VANESSSA FERREIRA MARCELO LAURINDO;4061;PSB;Feminino;23375585;578;2025-03-25 03:36:58
2022;Deputado Federal;SP;JEFFERSON RIPI DA SILVA;9049;PROS;Masculino;23375585;192;2025-03-25 03:36:58
2022;Deputado Federal;SP;TASSIO RENAM SOUZA BOTELHO;9096;PROS;Masculino;23375585;8;2025-03-25 03:36:58
2022;Deputado Federal;SP;CICERO DE AQUINO;1016;REPUBLICANOS;Masculino;23375585;4897;2025-03-25 03:36:58
2022;Deputado Federal;SP;WILSON GRASSI JÚNIOR;4330;PV;Masculino;23375585;0;2025-03-25 03:36:58
2022;Deputado Federal;SP;EDIMARCOS FERREIRA DA SILVA;9088;PROS;Masculino;23375585;232;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALEXSSANDRO BUSSOLA;4523;PSDB;Masculino;23375585;5716;2025-03-25 03:36:58
2022;Deputado Federal;SP;RAMIRO ALVES DA ROCHA CRUZ JUNIOR;2225;PL;Masculino;23375585;4542;2025-03-25 03:36:58
2022;Deputado Federal;SP;FABIO BLANES;7018;AVANTE;Masculino;23375585;2888;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANDERSON CAVANHA;2282;PL;Masculino;23375585;17193;2025-03-25 03:36:58
2022;Deputado Federal;SP;EUCLIDES ROBERTO FERREIRA;1969;PODE;Masculino;23375585;540;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOSE MANOEL DE LIRA FILHO;3635;AGIR;Masculino;23375585;282;2025-03-25 03:36:58
2022;Deputado Federal;SP;WAGNER BARBOSA;7060;AVANTE;Masculino;23375585;1570;2025-03-25 03:36:58
2022;Deputado Federal;SP;PAULO ROBERTO DE CAMPOS;1922;PODE;Masculino;23375585;24790;2025-03-25 03:36:58
2022;Deputado Federal;SP;VALDECI ANTONIO DE PROENÇA;1905;PODE;Masculino;23375585;4270;2025-03-25 03:36:58
2022;Deputado Federal;SP;TERESINHA DE CARVALHO;5101;PATRIOTA;Feminino;23375585;3970;2025-03-25 03:36:58
2022;Deputado Federal;SP;MASSAEL BESSA DA SILVA;1152;PP;Masculino;23375585;1335;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOSÉ ROBERTO APOLARI;1121;PP;Masculino;23375585;3744;2025-03-25 03:36:58
2022;Deputado Federal;SP;CARLOS MINORU ISHIKO;1025;REPUBLICANOS;Masculino;23375585;1086;2025-03-25 03:36:58
2022;Deputado Federal;SP;GUILHERME MURARO DERRITE;2290;PL;Masculino;23375585;239772;2025-03-25 03:36:58
2022;Deputado Federal;SP;MOACIR RODRIGUES FERNANDES;3610;AGIR;Masculino;23375585;289;2025-03-25 03:36:58
2022;Deputado Federal;SP;FABIO SILVA CALIXTO;1371;PT;Masculino;23375585;1912;2025-03-25 03:36:58
2022;Deputado Federal;SP;SILVIO ROMERO DE MAGALHAES LEITE;1404;PTB;Masculino;23375585;1442;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOSÉ ANTONIO DE GÓES FILHO;5112;PATRIOTA;Masculino;23375585;791;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARLENE MARIA RAMOS;5178;PATRIOTA;Feminino;23375585;259;2025-03-25 03:36:58
2022;Deputado Federal;SP;FREDERICK WASSEF;2239;PL;Masculino;23375585;3628;2025-03-25 03:36:58
2022;Deputado Federal;SP;GLAUCIA BERENICE SANTOS DA SILVA;1012;REPUBLICANOS;Feminino;23375585;16664;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROGERIO XAVIER FRANÇA;2003;PSC;Masculino;23375585;814;2025-03-25 03:36:58
2022;Deputado Federal;SP;LIDIANI ROCHA FERREIRA;1514;MDB;Feminino;23375585;386;2025-03-25 03:36:58
2022;Deputado Federal;SP;EDUARDO COSENTINO DA CUNHA;1477;PTB;Masculino;23375585;5044;2025-03-25 03:36:58
2022;Deputado Federal;SP;INES NANY RODRIGUES DA SILVA;4443;UNIÃO;Feminino;23375585;1785;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUZIANE DIAS SIMÃO;5020;PSOL;Feminino;23375585;1018;2025-03-25 03:36:58
2022;Deputado Federal;SP;GUSTAVO MARTINS PICCOLO;1231;PDT;Masculino;23375585;8084;2025-03-25 03:36:58
2022;Deputado Federal;SP;VINICIUS SAUDINO DE MORAES;5532;PSD;Masculino;23375585;10599;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALUISIO LUNDGREN CORREA REGIS;9074;PROS;Masculino;23375585;65;2025-03-25 03:36:58
2022;Deputado Federal;SP;PAULO PEREIRA DA SILVA;7777;SOLIDARIEDADE;Masculino;23375585;64137;2025-03-25 03:36:58
2022;Deputado Federal;SP;TALMA CRISTINA NONAKA;5528;PSD;Feminino;23375585;288;2025-03-25 03:36:58
2022;Deputado Federal;SP;PATRÍCIA MORA D'AVILA;3328;PMN;Feminino;23375585;256;2025-03-25 03:36:58
2022;Deputado Federal;SP;EDJANE LIMA DE AZEVEDO;9090;PROS;Feminino;23375585;1116;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUIZ MARINHO;1355;PT;Masculino;23375585;156202;2025-03-25 03:36:58
2022;Deputado Federal;SP;RICARDO DUREGGER;9019;PROS;Masculino;23375585;544;2025-03-25 03:36:58
2022;Deputado Federal;SP;DAVID BEZERRA RIBEIRO SOARES;4411;UNIÃO;Masculino;23375585;93831;2025-03-25 03:36:58
2022;Deputado Federal;SP;RICARDO IZAR JUNIOR;1011;REPUBLICANOS;Masculino;23375585;70142;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARIA AUXILIADORA DE SOUSA;2865;PRTB;Feminino;23375585;197;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOSÉ AUGUSTINHO DOS SANTOS;3626;AGIR;Masculino;23375585;575;2025-03-25 03:36:58
2022;Deputado Federal;SP;CLAUDIO DONIZETE DOS REIS;1600;PSTU;Masculino;23375585;667;2025-03-25 03:36:58
2022;Deputado Federal;SP;ZULEICA MADALENA SANTORO;1932;PODE;Feminino;23375585;416;2025-03-25 03:36:58
2022;Deputado Federal;SP;MÁRIO COVAS NETO;1999;PODE;Masculino;23375585;4954;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROBERTO MOREIRA DE SOUZA;2333;CIDADANIA;Masculino;23375585;1045;2025-03-25 03:36:58
2022;Deputado Federal;SP;FERNANDO FERRARI MERIGLI;1445;PTB;Masculino;23375585;1631;2025-03-25 03:36:58
2022;Deputado Federal;SP;JURACY FRANCISCO DE JESUS;3611;AGIR;Masculino;23375585;834;2025-03-25 03:36:58
2022;Deputado Federal;SP;LOURIVALDO DELFINO;5160;PATRIOTA;Masculino;23375585;558;2025-03-25 03:36:58
2022;Deputado Federal;SP;DAIANE CRISTINA MELO CORREA BARBOSA;1147;PP;Feminino;23375585;3590;2025-03-25 03:36:58
2022;Deputado Federal;SP;CLAUDETE ALVES DA SILVA;1388;PT;Feminino;23375585;23943;2025-03-25 03:36:58
2022;Deputado Federal;SP;LENIR MARIA DE OLIVEIRA;2061;PSC;Feminino;23375585;257;2025-03-25 03:36:58
2022;Deputado Federal;SP;GLAUCIA MAXIMO DOS SANTOS;5145;PATRIOTA;Feminino;23375585;764;2025-03-25 03:36:58
2022;Deputado Federal;SP;CARLOS ALBERTO ADÃO;7024;AVANTE;Masculino;23375585;359;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUCIENE CAVALCANTE DA SILVA;5089;PSOL;Feminino;23375585;49131;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROSELI DE PAULA SILVA DE SOUZA;7021;AVANTE;Feminino;23375585;177;2025-03-25 03:36:58
2022;Deputado Federal;SP;JUAREZ DE CARVALHO COSTA;3517;PMB;Masculino;23375585;397;2025-03-25 03:36:58
2022;Deputado Federal;SP;FERNANDA STEFANI CURTI;1387;PT;Feminino;23375585;24566;2025-03-25 03:36:58
2022;Deputado Federal;SP;LAIR MOURA SALA MALAVILA JUSEVICIUS;4430;UNIÃO;Feminino;23375585;0;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARCOS ROBERTO DOS SANTOS;1446;PTB;Masculino;23375585;98;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANTÔNIO AGNALDO GUERRA;7745;SOLIDARIEDADE;Masculino;23375585;561;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUIZ PAULO TEIXEIRA FERREIRA;1398;PT;Masculino;23375585;122800;2025-03-25 03:36:58
2022;Deputado Federal;SP;RAFAEL ALBANEZ;1433;PTB;Masculino;23375585;1429;2025-03-25 03:36:58
2022;Deputado Federal;SP;SEBASTIAO FARIAS PAIVA;1202;PDT;Masculino;23375585;569;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALEXANDRE DONIZETE TEODORO;2001;PSC;Masculino;23375585;987;2025-03-25 03:36:58
2022;Deputado Federal;SP;FERNANDO ALVES LISBOA DINI;1527;MDB;Masculino;23375585;8338;2025-03-25 03:36:58
2022;Deputado Federal;SP;RENATO MENEGUELO;1506;MDB;Masculino;23375585;490;2025-03-25 03:36:58
2022;Deputado Federal;SP;IOLANDA KEIKO MIASHIRO OTA;1596;MDB;Feminino;23375585;16626;2025-03-25 03:36:58
2022;Deputado Federal;SP;CARLA CRISTINA MASSARO FLORES;1503;MDB;Feminino;23375585;1304;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALEXANDRE DE ALCANTARA;4518;PSDB;Masculino;23375585;955;2025-03-25 03:36:58
2022;Deputado Federal;SP;ITALO LORENZON NETO;1469;PTB;Masculino;23375585;4619;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROBERTO CACCIARI FILHO;2267;PL;Masculino;23375585;19751;2025-03-25 03:36:58
2022;Deputado Federal;SP;LILIANE NUNES DE CARVALHO DOS SANTOS;3633;AGIR;Feminino;23375585;1880;2025-03-25 03:36:58
2022;Deputado Federal;SP;DULCINEIA LOPES DE OLIVEIRA;2219;PL;Feminino;23375585;7234;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARCELO GERALDO DA SILVA;2073;PSC;Masculino;23375585;450;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANA MARIA DE GOUVÊA;4020;PSB;Feminino;23375585;1096;2025-03-25 03:36:58
2022;Deputado Federal;SP;FRANCISCO PEREIRA DE SOUSA FILHO;4077;PSB;Masculino;23375585;5861;2025-03-25 03:36:58
2022;Deputado Federal;SP;VALDINEI MARCELINO LIMA;5534;PSD;Masculino;23375585;485;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOÃO LUIZ LEITE;1154;PP;Masculino;23375585;538;2025-03-25 03:36:58
2022;Deputado Federal;SP;ELIAS ANTONIO NETO;4408;UNIÃO;Masculino;23375585;5967;2025-03-25 03:36:58
2022;Deputado Federal;SP;KARINA CELESTE MOURA;5533;PSD;Feminino;23375585;20725;2025-03-25 03:36:58
2022;Deputado Federal;SP;FERNANDO ANTONIO MARCELO;7770;SOLIDARIEDADE;Masculino;23375585;1805;2025-03-25 03:36:58
2022;Deputado Federal;SP;RICARDO URIZZI CARVALHO;5090;PSOL;Masculino;23375585;2776;2025-03-25 03:36:58
2022;Deputado Federal;SP;JORGE AUGUSTO FIGO PESSOA;1266;PDT;Masculino;23375585;817;2025-03-25 03:36:58
2022;Deputado Federal;SP;PABLO HENRIQUE COSTA MARÇAL;9000;PROS;Masculino;23375585;0;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUIZ FELIPE DE ANDRADE FOLGOSI;2234;PL;Masculino;23375585;30921;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARIA LUCIA SECOTI FILIZOLA;1890;REDE;Feminino;23375585;420;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUANA TRINDADE DA SILVA;7019;AVANTE;Feminino;23375585;351;2025-03-25 03:36:58
2022;Deputado Federal;SP;GILMARA VANZO CRISTÃO;1162;PP;Feminino;23375585;319;2025-03-25 03:36:58
